0.001,0,0
0.002,6.352247E-05,0.06352248
0.003,0.0001905674,0.127045
0.004,0.0003811348,0.1905674
0.005,0.0006352247,0.2540899
0.006000001,0.0009528371,0.3176124
0.007000001,0.001333972,0.3811349
0.008,0.001778629,0.4446574
0.009000001,0.002286809,0.5081798
0.01,0.002858511,0.5717023
0.011,0.003493736,0.6352248
0.012,0.004192483,0.6987472
0.013,0.004954753,0.7622697
0.014,0.005780545,0.8257921
0.015,0.006669859,0.8893146
0.016,0.007622696,0.952837
0.017,0.008639055,1.01636
0.018,0.009718937,1.079882
0.019,0.01086234,1.143404
0.02,0.01206927,1.206927
0.021,0.01333972,1.270449
0.022,0.01467369,1.333972
0.023,0.01607118,1.397494
0.024,0.0175322,1.461017
0.025,0.01905674,1.524539
0.026,0.0206448,1.588062
0.027,0.02229638,1.651584
0.028,0.02401149,1.715107
0.029,0.02579012,1.778629
0.03,0.02763227,1.842152
0.031,0.02953795,1.905674
0.032,0.03150714,1.969196
0.033,0.03353986,2.032719
0.034,0.0356361,2.096241
0.035,0.03779587,2.159764
0.03599999,0.04001915,2.223287
0.03699999,0.04230596,2.286809
0.03799999,0.0446563,2.350332
0.03899999,0.04707015,2.413854
0.03999999,0.04954753,2.477377
0.04099999,0.05208843,2.5409
0.04199998,0.05469285,2.604422
0.04299998,0.05736079,2.667945
0.04399998,0.06009226,2.731467
0.04499998,0.06288725,2.79499
0.04599998,0.06574576,2.858512
0.04699998,0.0686678,2.922035
0.04799997,0.07165336,2.985558
0.04899997,0.07470244,3.04908
0.04999997,0.07781504,3.112603
0.05099997,0.08099116,3.176125
0.05199997,0.08423081,3.239648
0.05299997,0.08753398,3.30317
0.05399996,0.09090067,3.366693
0.05499996,0.09433089,3.430216
0.05599996,0.09782463,3.493738
0.05699996,0.1013819,3.557261
0.05799996,0.1050027,3.620783
0.05899996,0.108687,3.684306
0.05999995,0.1124348,3.747828
0.06099995,0.1162462,3.811351
0.06199995,0.120121,3.874874
0.06299995,0.1240594,3.938396
0.06399995,0.1280614,4.001919
0.06499995,0.1321268,4.065441
0.06599995,0.1362558,4.128963
0.06699996,0.1404482,4.192486
0.06799996,0.1447043,4.256008
0.06899996,0.1490238,4.31953
0.06999996,0.1534068,4.383053
0.07099997,0.1578534,4.446575
